source_id,jurisdiction_code,source_currency,target_currency,method,rate_period_start,rate_period_end,retrieved_on,rate_numerator,rate_denominator,source_institution,series_id,source_title,source_url,permanent_identifier,archive_url,publication_date,publication_date_status,observation_period,observation_value,observation_unit,source_quote_convention,execution_quote_convention,source_minor_unit_exponent,target_minor_unit_exponent,timing_convention,missing_date_policy,transformation
ECB_EXR_A_2024_EUR,BE,EUR,EUR,FX,2024-01-01,2024-12-31,2026-08-30,1,1,European Central Bank,IDENTITY.EUR.EUR,Euro identity conversion for an EUR target,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,EUR/EUR identity,,,NOT_PROVIDED_BY_ENDPOINT,2024,1,EUR per EUR,target currency unit per target currency unit,target minor units per source minor unit,2,2,IDENTITY_SAME_CURRENCY,NOT_APPLICABLE_IDENTITY,target_minor_per_source_minor=1 because source_currency equals target_currency
ECB_EXR_A_2024_EUR,JP,JPY,EUR,FX,2024-01-01,2024-12-31,2026-08-30,2560000,4194609,European Central Bank,EXR.A.JPY.EUR.SP00.A,Japanese yen/Euro ECB reference exchange rate,https://data-api.ecb.europa.eu/service/data/EXR/A.JPY.EUR.SP00.A?startPeriod=2024&endPeriod=2024&format=csvdata,EXR.A.JPY.EUR.SP00.A,,,NOT_PROVIDED_BY_ENDPOINT,2024,163.8519140625,JPY per EUR,source currency units per EUR,target minor units per source minor unit,0,2,ECB_ANNUAL_AVERAGE_REFERENCE_RATE,USE_OFFICIAL_ANNUAL_OBSERVATION_NO_IMPUTATION,target_minor_per_source_minor=(10^2/10^0)/163.8519140625=2560000/4194609
ECB_EXR_A_2024_EUR,KR,KRW,EUR,FX,2024-01-01,2024-12-31,2026-08-30,500000000000000,7377020507812499,European Central Bank,EXR.A.KRW.EUR.SP00.A,South Korean won/Euro ECB reference exchange rate,https://data-api.ecb.europa.eu/service/data/EXR/A.KRW.EUR.SP00.A?startPeriod=2024&endPeriod=2024&format=csvdata,EXR.A.KRW.EUR.SP00.A,,,NOT_PROVIDED_BY_ENDPOINT,2024,1475.4041015624998,KRW per EUR,source currency units per EUR,target minor units per source minor unit,0,2,ECB_ANNUAL_AVERAGE_REFERENCE_RATE,USE_OFFICIAL_ANNUAL_OBSERVATION_NO_IMPUTATION,target_minor_per_source_minor=(10^2/10^0)/1475.4041015624998=500000000000000/7377020507812499
ECB_EXR_A_2024_EUR,UK,GBP,EUR,FX,2024-01-01,2024-12-31,2026-08-30,5120000,4334677,European Central Bank,EXR.A.GBP.EUR.SP00.A,Pound sterling/Euro ECB reference exchange rate,https://data-api.ecb.europa.eu/service/data/EXR/A.GBP.EUR.SP00.A?startPeriod=2024&endPeriod=2024&format=csvdata,EXR.A.GBP.EUR.SP00.A,,,NOT_PROVIDED_BY_ENDPOINT,2024,0.8466166015625,GBP per EUR,source currency units per EUR,target minor units per source minor unit,2,2,ECB_ANNUAL_AVERAGE_REFERENCE_RATE,USE_OFFICIAL_ANNUAL_OBSERVATION_NO_IMPUTATION,target_minor_per_source_minor=(10^2/10^2)/0.8466166015625=5120000/4334677
